col,fieldname
 F12043," Gastroenterology, 75 +         "
 F12044," General Internal Med, 65-74    "
 F12045," General Internal Med, 75 +     "
 F12046," Internal Med Subspecs, 65-74   "
 F12047," Internal Med Subspecs, 75 +    "
 F12048," Pediatrics, General, 65-74     "
 F12049," Pediatrics, General, 75 +      "
 F12050," Pediatric Subspecs, 65-74      "
 F12051," Pediatric Subspecs, 75 +       "
 F12052," Pediatric Cardiology, 65-74    "
 F12053," Pediatric Cardiology, 75 +     "
 F12054," Pulmonary Diseases, 65-74      "
 F12055," Pulmonary Diseases, 75 +       "
 F12056," Surgical Specs, Total, 65-74   "
 F12057," Surgical Specs, Total, 75 +    "
 F12058," General Surgery, 65-74         "
 F12059," General Surgery, 75 +          "
 F12060," Neurological Surgery, 65-74    "
 F12061," Neurological Surgery, 75 +     "
 F12062," Ob-Gyn, General, 65-74         "
 F12063," Ob-Gyn, General, 75 +          "
 F12064," Ob-Gyn Subspecs, 65-74         "
 F12065," Ob-Gyn Subspecs, 75 +          "
 F12066," Ophthalmology, 65-74           "
 F12067," Ophthalmology, 75 +            "
 F12068," Orthopedic Surgery, 65-74      "
 F12069," Orthopedic Surgery, 75 +       "
 F12070," Otolaryngology, 65-74          "
 F12071," Otolaryngology, 75 +           "
 F12072," Plastic Surgery, 65-74         "
 F12073," Plastic Surgery, 75 +          "
 F12074," Colon & Rectal Surgery, 65-74  "
 F12075," Colon & Rectal Surgery, 75 +   "
 F12076," Thoracic Surgery, 65-74        "
 F12077," Thoracic Surgery, 75 +         "
 F12078," Urology, 65-74                 "
 F12079," Urology, 75 +                  "
 F12080," Other Specs, Total, 65-74      "
 F12081," Other Specs, Total, 75 +       "
 F12082," Aerospace Medicine, 65-74      "
 F12083," Aerospace Medicine, 75 +       "
 F12084," Anesthesiology, 65-74          "
 F12085," Anesthesiology, 75 +           "
 F12086," Child Psychiatry, 65-74        "
 F12087," Child Psychiatry, 75 +         "
 F12088," Diagnostic Radiology, 65-74    "
 F12089," Diagnostic Radiology, 75 +     "
 F12090," Emergency Medicine, 65-74      "
 F12091," Emergency Medicine, 75 +       "
 F12092," Forensic Pathology, 65-74      "
 F12093," Forensic Pathology, 75 +       "
 F12094," Neurology, 65-74               "
 F12095," Neurology, 75 +                "
 F12096," Nuclear Medicine, 65-74        "
 F12097," Nuclear Medicine, 75 +         "
 F12098," Occupational Medicine, 65-74   "
 F12099," Occupational Medicine, 75 +    "
 F12100," Psychiatry, 65-74              "
 F12101," Psychiatry, 75 +               "
 F12102," Pathology, Anat/Clinic, 65-74  "
 F12103," Pathology, Anat/Clinic, 75 +   "
 F12104," Physical Med & Rehab, 65-74    "
 F12105," Physical Med & Rehab, 75 +     "
 F12106," General Preventive Med, 65-74  "
 F12107," General Preventive Med, 75 +   "
 F12108," Public Health, 65-74           "
 F12109," Public Health, 75 +            "
 F12110," Radiology, 65-74               "
 F12111," Radiology, 75 +                "
 F12112," Radiation Oncology, 65-74      "
 F12113," Radiation Oncology, 75 +       "
 F12114," Other Specialty, 65-74         "
 F12115," Other Specialty, 75 +          "
 F12116," Unspecified, 65-74             "
 F12117," Unspecified, 75 +              "
 F12118," MD's, Inactive, 65-74          "
 F12119," MD's, Inactive, 75 +           "
 F12120," MD's, Not Classified, 65-74    "
 F12121," MD's, Not Classified, 75 +     "
 F12128," Total M.D.'s, Tot Non-Fed & Fed"
 F12129, Tot Active M.D.s Non-Fed & Fed 
 F12425," Medical Genetics, Total        "
 F12426," Medical Genetics, < 35         "
 F12427," Medical Genetics, 35-44        "
 F12428," Medical Genetics, 45-54        "
 F12429," Medical Genetics, 55-64        "
 F12430," Medical Genetics, 65-74        "
 F12431," Medical Genetics, 75 +         "
 F12432," Medical Genetics,Tot Patnt Care"
 F12433," Medical Genetics,PC,Off Based  "
 F12436," Medical Genetics,PC,Hosp FT Stf"
 F12437," Medical Genetics,Administration"
 F12438," Medical Genetics, Teaching     "
 F12439," Medical Genetics, Research     "
 F12440," Medical Genetics, Other        "
 F12499," M.D.'s, Total PC, Hosp Resident"
 F12500," MD's, Tot Gen Pract, PC,Hsp Res"
 F12501," MD's, Fam Med Gen,PC,Hsp Rsdnt "
 F12502," MD's, Fam Med Subsp,PC,Hsp Res "
 F12503," Med Spec Tot, PC, Hosp Resident"
 F12504," Allergy&Immunology,Hosp Resdnt "
 F12505," Cardiovas Dis, PC, Hosp Resdnt "
 F12506," Dermatology, PC, Hosp Resident "
 F12507," Gastroenterology, PC, Hosp Res "
 F12508," Gnrl Int Med, PC, Hosp Resident"
 F12509," Int Med Subspecs, PC, Hosp Res "
 F12510," Pediatrics,Gen,PC,Hosp Resident"
 F12511," Ped Subspecs, PC, Hosp Resident"
 F12512," Ped Cardiolgy, PC, Hosp Resdnt "
 F12513," Pulmonary Dis, PC, Hosp Resdnt "
 F12514," Surg Specs Tot, PC, Hosp Resdnt"
 F12515," Genrl Surg, PC, Hosp Residents "
 F12516," Neurolgcal Surg, PC, Hosp Res  "
 F12517," Ob-Gyn, Gen, PC, Hosp Residents"
 F12518," Ob-Gyn Subspecs,PC,Hosp Residnt"
 F12519," Ophthalmolgy, PC, Hosp Resdnts "
 F12520," Orthopedic Surg, PC, Hosp Res  "
 F12521," Otolaryngolgy, PC, Hosp Resdnt "
 F12522," Plastic Surg, PC, Hosp Resident"
 F12523," Colon/Rectal Srg, PC, Hosp Res "
 F12524," Thoracic Surg, PC, Hosp Resdnt "
 F12525," Urology, PC, Hosp Residents    "
 F12526," Other Spec, Tot, PC, Hosp Res  "
 F12527," Aerospace Med, PC, Hosp Resdnt "
 F12528," Anesthesiolgy, PC, Hosp Resdnt "
 F12529," Child Psych, PC, Hosp Residents"
 F12530," Diag Radiolgy, PC, Hosp Resdnt "
 F12531," Emergency Med, PC, Hosp Resdnt "
 F12532," Forensic Path, PC, Hosp Resdnt "
 F12533," Medical Genetics,PC,Hosp Resdnt"
 F12534," Neurology, PC, Hosp Residents  "
 F12535," Nuclear Med, PC, Hosp Residnts "
 F12536," Occupat Med, PC, Hosp Residents"
 F12537," Psychiatry, PC, Hosp Residents "
 F12538," Path,Anat/Clinic,PC,Hosp Resdnt"
 F12539," Phys Med/Rehab, PC, Hosp Resdnt"
 F12540," Gen Prev Med, PC, Hosp Resident"
 F12541," Public Health, PC, Hosp Residnt"
 F12542," Radiology, PC, Hosp Residents  "
 F12543," Rad Oncology, PC, Hosp Resident"
 F12544," Other Specs, PC, Hosp Residents"
 F12545," Unspecified, PC, Hosp Residents"
 F13171," Dentists, Total Priv Practice  "
 F13172," Dent, Total Male, Priv Pract   "
 F13173," Dent, Total Female, Priv Pract "
 F13174," Dent, Priv Pract,Tot GPs & Ped "
 F13175," Dent, Priv Pract,Tot Other Spec"
 F13176, # Active Dentists 55-64        
 F13179," Dentists, State or Local Govt  "
 F13181," Dentists, Grad Student/Resident"
 F13183," Dentists, Total Prof Active    "
 F13184," Dent,Armed Forces & Oth Fed Srv"
 F13228, Physician Assistants           
 F13229," Physician Assistants, Female   "
 F13230," Physician Assistants, Male     "
 F13282," Dent,Staff, Fac & Staf,Hlth Org"
 F13283," Dentists, Other Occupation     "
 F13284," Dentists, No Longer in Practice"
 F13285, # Active Dentists Age Unknown  
 F13286," Dentists, Dental School Faculty"
 F13635," Vascular Med, Total            "
 F13636," Vascular Med, Total Patn Care  "
 F13637," Vascular Med, PC, Office Based "
 F13638," Vascular Med, PC, Hosp Resdnt  "
 F13639," Vascular Med, PC, Hosp FT Stf  "
 F13640," Vascular Med, Administration   "
 F13641," Vascular Med, Teaching         "
 F13642," Vascular Med, Research         "
 F13643," Vascular Med, Other            "
 F13644," Vascular Medicine, < 35        "
 F13645," Vascular Medicine, 35-44       "
 F13646," Vascular Medicine, 45-54       "
 F13647," Vascular Medicine, 55-64       "
 F13648," Vascular Medicine, 65-74       "
 F13649," Vascular Medicine, 75 +        "
 F13650," Transplant Surg, Total         "
 F13651," Transplant Surg, Tot Patn Care "
 F13652," Transplant Surg, PC, Office Bsd"
 F13653," Transplant Surg, PC,Hosp Resdnt"
 F13654," Transplant Surg, PC,Hosp FT Stf"
 F13655," Transplant Surg, Administration"
 F13656," Transplant Surg, Teaching      "
 F13657," Transplant Surg, Research      "
 F13658," Transplant Surg, Other         "
 F13659," Transplantation Surgery, < 35  "
 F13660," Transplantation Surgery, 35-44 "
 F13661," Transplantation Surgery, 45-54 "
 F13662," Transplantation Surgery, 55-64 "
 F13663," Transplantation Surgery, 65-74 "
 F13664," Transplantation Surgery, 75 +  "
 F13665," Physician Assist,Gender Unknown"
 F13666," Physician Assistants, Active   "
 F13878," M.D.'s, Total, Inactive        "
 F13879," Total D.O.'s, Tot Non-Fed & Fed"
 F13880," Total D.O.'s, Total Non-Fed    "
 F13881," Total D.O.'s, Total Federal    "
 F13882, Tot Active D.O.s Non-Fed & Fed 
 F13883, Total Active D.O.s Non-Federal 
 F13884, Total Active D.O.s Federal     
 F13958," Physician Assistants, Inactive "
 F14092," Dentists,PT Faculty/PT Practice"
 F14093," Dentists, Seeking Employment   "
 F14095," Dent, Gender Unknown,Priv Pract"
 F14641, Physician Assistants w/NPI     
 F14642, Nurse Practitioners w/NPI      
 F14643, Clinical Nurse Specialist w/NPI
 F14644, Cert Regist Nurs Anesthet w/NPI
 F14645, Adv Pract Nurse Midwives w/NPI 
 F14646, Adv Practice Regist Nurse w/NPI
 F14647, Podiatrists w/NPI              
 F14648, Chiropractors w/NPI            
 F14649, Optometrists w/NPI             
 F14650, Dentists w/NPI                 
 F14675," Phys,Primary Care, Patient Care"
 F14676," Phys,Primary Care, Hsp Resident"
 F14677," MD's,Primary Care, Patient Care"
 F14678," MD's,Primary Care, Hsp Resident"
 F14679," DO's,Primary Care, Patient Care"
 F14680," DO's,Primary Care, Hsp Resident"
 F14681," Phys,Tot Ptn Care,Tot Graduates"
 F14682," Phys,Tot Ptn Care, US Graduates"
 F14683," Phys,Tot Ptn Care,Canadian Grad"
 F14684," Phys,Tot Ptn Care, IMG Grads   "
 F14685," MD's,Tot Ptn Care,Tot Graduates"
 F14686," MD's,Tot Ptn Care, US Graduates"
 F14687," MD's,Tot Ptn Care,Canadian Grad"
 F14688," MD's,Tot Ptn Care, IMG Grads   "
 F14689," DO's,Tot Ptn Care,Tot Graduates"
 F14690," DO's,Tot Ptn Care, US Graduates"
 F14693," D.O.'s, Total Ptn Care Non-Fed "
 F14694," D.O.'s, PC, Off Based Non-Fed  "
 F14695," D.O.'s, Total PC, Hosp Resident"
 F14696," D.O.'s, Total PC, Hosp FT Staff"
 F14697," D.O.'s, Total Oth Prof Activity"
 F14698," DO's Inactive, Total           "
 F14699," DO's Not Classified, Total     "
 F14700," Total D.O.'s, Male             "
 F14701," Total D.O.'s, Female           "
 F14702," DO's, Inactive, Male           "
 F14703," DO's, Inactive, Female         "
 F14704," Total D.O.'s, < 35             "
 F14705," Total D.O.'s, 35-44            "
 F14706," Total D.O.'s, 45-54            "
 F14707," Total D.O.'s, 55-64            "
 F14708," Total D.O.'s, 65-74            "
 F14709," Total D.O.'s, 75 +             "
 F14710," DO's, Inactive, < 35           "
 F14711," DO's, Inactive, 35-44          "
 F14712," DO's, Inactive, 45-54          "
 F14713," DO's, Inactive, 55-64          "
 F14714," DO's, Inactive, 65-74          "
 F14715," DO's, Inactive, 75 +           "
 F14716," DO's, Gen Pract, Total         "
 F14717," DO's, Gen Pract, Total Ptn Care"
 F14718," DO's, Fam Med Gen, Total       "
 F14719," DO's, Fam Med Gen, Tot Ptn Cr  "
 F14720," DO's, Fam Med Subspec, Total   "
 F14721," DO's, Fam Med Subsp,Tot Ptn Cr "
 F14722," DO's, Gnrl Int Med, Total      "
 F14723," DO's, Gnrl Int Med, Tot Ptn Cr "
 F14724," DO's, Int Med Subspecs, Total  "
 F14725," DO's, IntMed Subspcs,Tot Ptn Cr"
 F14726," DO's, Pediatrics, General, Tot "
 F14727," DO's, Pediatrics,Gen,Tot Ptn Cr"
 F14728," DO's, Ped Subspecs, Total      "
 F14729," DO's, Ped Subspecs, Tot Patn Cr"
 F14730," DO's, Ob-Gyn, General, Total   "
 F14731," DO's, Ob-Gyn, Gen, Tot Patn Cr "
 F14732," DO's, Ob-Gyn Subspecs, Total   "
 F14733," DO's, Ob-Gyn Subspcs,Tot Ptn Cr"
 F14734," DO's, Genrl Surg, Total        "
 F14735," DO's, Genrl Surg, Tot Ptnt Care"
 F14736," DO's, Orthopedic Surg, Total   "
 F14737," DO's, Orthopedic Srg,Tot Ptn Cr"
 F14738," DO's, Anesthesiolgy, Total     "
 F14739," DO's, Anesthesiolgy, Tot Ptn Cr"
 F14740," DO's, Emergency Med, Total     "
 F14741," DO's, Emergency Med, Tot Ptn Cr"
 F14742," DO's, Psychiatry, Total        "
 F14743," DO's, Psychiatry, Tot Patnt Cr "
 F14744," DO's, Phys Med/Rehab, Total    "
 F14745," DO's, Phys Med/Rehab,Tot Ptn Cr"
 F14746," DO's, Other Specs, Total       "
 F14747," DO's, Other Specs, Tot Patnt Cr"
 F14896," Dentists, Male w/NPI           "
 F14897," Dentists,Female w/NPI          "
 F14898," Physician Assist, Male w/NPI   "
 F14899," Physician Assist, Female w/NPI "
 F14900," Adv Prct Regist Nurs,Male w/NPI"
 F14901," Adv Prct Regist Nurs,Fmle w/NPI"
 F14902," Nurse Practitioners, Male w/NPI"
 F14903," Nurse Practitioners, Fmle w/NPI"
 F14904," Clin Nurs Specialist,Male w/NPI"
 F14905," Clin Nurs Specialist,Fmle w/NPI"
 F14906," CertRegistNursAnesth,Male w/NPI"
 F14907," CertRegistNursAnesth,Fmle w/NPI"
 F14908," AdvPractNurs Midwve,Male w/NPI "
 F14909," AdvPractNurs Midwve,Fmle w/NPI "
 F14910," Chiropractors, Male w/NPI      "
 F14911," Chiropractors, Female w/NPI    "
 F14912," Optometrists, Male w/NPI       "
 F14913," Optometrists, Female w/NPI     "
 F14914," Podiatrists, Male w/NPI        "
 F14915," Podiatrists, Female w/NPI      "
